County,Year,% High School,% Bachelor's or Higher,% Unemployment Rate,% Income < 50000,Square Land Miles,% Hispanic,% Black,% Native American,% Asian,% Hawaiian,% Other Races,% More Than One Races,% Male,% Female,% Diversity Index 2020,Eligible Voters,Total Population,Total_Votes,Prev Democratic Vote Share
Susquehanna,2016,0.9179999999999999,0.271,0.043,0.499,823.5,0.017,0.006,0.001,0.004,0.0,0.004,0.008,0.503,0.49700000000000005,0.1306,33334.0,"41,832",18863.0,0.3843
Susquehanna,2020,0.9179999999999999,0.271,0.034,0.446,823.5,0.017,0.006,0.0,0.004,0.0,0.003,0.013999999999999999,0.5,0.5,0.1306,32697.0,"40,604",21752.0,0.2716
Tioga,2016,0.8859999999999999,0.284,0.039,0.515,"1,133.8",0.012,0.005,0.001,0.005,0.0,0.003,0.013000000000000001,0.496,0.504,0.12960000000000002,33392.0,"42,031",18325.0,0.315
Tioga,2020,0.8859999999999999,0.284,0.028999999999999998,0.48,"1,133.8",0.013000000000000001,0.008,0.001,0.006,0.0,0.004,0.013000000000000001,0.498,0.502,0.12960000000000002,32456.0,"40,759",21075.0,0.21289999999999998
Union,2016,0.701,0.318,0.025,0.484,316.0,0.057,0.069,0.004,0.015,0.0,0.013999999999999999,0.019,0.551,0.449,0.28,36097.0,"45,178",17468.0,0.37549999999999994
Union,2020,0.701,0.318,0.013999999999999999,0.442,316.0,0.06,0.066,0.003,0.018000000000000002,0.0,0.015,0.017,0.5489999999999999,0.451,0.28,36213.0,"44,831",20115.0,0.3538
Venango,2016,1.003,0.261,0.046,0.56,674.3,0.011000000000000001,0.008,0.001,0.003,0.0,0.001,0.018000000000000002,0.49200000000000005,0.508,0.1261,42437.0,"53,460",23348.0,0.35840000000000005
Venango,2020,1.003,0.261,0.037000000000000005,0.48200000000000004,674.3,0.011000000000000001,0.011000000000000001,0.0,0.004,0.0,0.003,0.021,0.494,0.506,0.1261,41326.0,"51,355",26528.0,0.2702
Warren,2016,0.9640000000000001,0.268,0.033,0.557,884.3,0.01,0.005,0.001,0.005,0.0,0.001,0.01,0.501,0.499,0.113,32417.0,"40,649",18434.0,0.4044
Warren,2020,0.9640000000000001,0.268,0.025,0.486,884.3,0.011000000000000001,0.006,0.001,0.004,0.0,0.001,0.022000000000000002,0.5,0.5,0.113,31617.0,"39,466",20650.0,0.2791
